date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2024-09-26,14.9,10.58,9.94,5,,,96,78.9,74,52,10.2,6.8,5.2,0.2,28,14.62,16.5,5,35,29,100.55,100.06,100.02,99.48,96.08,95.65,95.61,95.13,16100,15629.2,11250,6400,2.1,1.7,1.7,1.3,8.1,0,4.9,2.9,0,10.3,,,,07:20:00,1727356800,7.33,19:11:00,1727399460,19.18,11.85,2,2,16,16,5,5,,4,3.8,3.5,3,,,,,,,,
2024-09-25,20.7,14.39,14.7,8.7,,,90,69.2,71,52,11.2,8.7,8.3,5.4,24,10.88,12,0,31,12,100.28,99.68,99.84,99.4,95.89,95.31,95.47,95.05,16100,16100,16100,16100,2,1.5,1.6,1.1,3.3,0,9.7,7.7,4.7,0,,,,07:18:00,1727270280,7.3,19:14:00,1727313240,19.23,11.93,3,3,23,23,8,9,,4,4,4,4,,,,,,,,
2024-09-24,22.4,15.4,15.35,8.3,,,97,66,65.5,34,12.1,8.1,8.3,4.5,39,17.25,19.5,0,46,28,100.41,100.23,100.26,100.1,96.01,95.83,95.85,95.69,16100,16100,16100,16100,2.1,1.4,1.6,1,2.6,0,10.3,8.3,5.3,0.2,,,,07:16:00,1727183760,7.27,19:17:00,1727227020,19.28,12.02,3,3,22,22,8,8,,4,4,3.5,3,,,,,,,,
2024-09-23,15.2,10.64,10.14,5.1,,,99,93.7,87.5,76,12.3,9.7,8.8,5.3,15,7.33,7.5,0,,,100.86,100.64,100.53,100.2,96.4,96.2,96.09,95.78,16100,10379.2,8150,200,2,1.2,1.5,1,7.9,0,5.1,3.1,0.1,1.4,,,,07:14:00,1727097240,7.23,19:19:00,1727140740,19.32,12.08,2,2,17,17,9,11,,4,4,4,4,,,,,,,,
2024-09-22,18.9,12.23,11.89,4.9,,,95,73.9,73,51,11.1,7.4,7.5,4,18,6.79,9,0,,,101.08,100.75,100.83,100.57,96.62,96.31,96.38,96.13,16100,15766.7,12100,8100,2,1.4,1.5,1,6.1,0,6.9,4.9,1.9,0.6,,,,07:12:00,1727010720,7.2,19:22:00,1727054520,19.37,12.17,3,3,15,15,5,7,,4,3.9,3.5,3,,,,,,,,
2024-09-21,16.6,8.1,8.1,-0.4,,,97,78.5,72.5,48,7.3,4.2,3.6,0,17,8.67,8.5,0,31,20,102.04,101.73,101.6,101.15,97.51,97.21,97.1,96.69,16100,15966.7,14500,12900,2,1.4,1.5,1,9.9,0,3.1,1.1,0,0.2,,,,07:10:00,1726924200,7.17,19:25:00,1726968300,19.42,12.25,2,3,16,16,5,5,,4,3.9,3.5,3,,,,,,,,
2024-09-20,15.6,9.89,9.94,4.3,,,93,76.2,69,45,8.1,5.6,4.9,1.7,24,10.96,12,0,50,34,101.78,101.02,101.13,100.49,97.26,96.56,96.67,96.07,16100,16100,16100,16100,2,1.9,1.6,1.3,8.1,0,4.9,2.9,0,0.6,,,,07:08:00,1726837680,7.13,19:28:00,1726882080,19.47,12.33,2,2,13,13,1,1,,4,4,4,4,,,,,,,,
2024-09-19,18.8,9.94,9.6,0.4,,,94,68.8,67,40,7.1,3.9,3.5,-0.1,11,6.08,5.5,0,,,100.8,100.62,100.64,100.47,96.35,96.17,96.18,96.02,16100,16100,16100,16100,3,2.1,2.5,2,8.4,0,4.6,2.6,0,0,,,,07:06:00,1726751160,7.1,19:30:00,1726795800,19.5,12.4,3,3,18,18,6,7,,4,4,4,4,,,,,,,,
2024-09-18,19.9,12.78,12.3,4.7,,,93,72.7,70.5,48,12,7.7,7.6,3.2,24,9.5,12,0,30,27,100.81,100.68,100.67,100.53,96.37,96.26,96.25,96.12,16100,16100,16100,16100,6,1.9,3.5,1.1,5.7,0,7.3,5.3,2.3,0,,,,07:04:00,1726664640,7.07,19:33:00,1726709580,19.55,12.48,2,2,21,21,3,3,,4,4,3.5,3,,,,,,,,
2024-09-17,23.8,14.33,13.4,3,,,96,66.3,66.5,37,9.5,7.3,6.5,3.6,15,7.25,7.5,0,,,100.95,100.81,100.81,100.68,96.51,96.39,96.39,96.27,16100,16100,16100,16100,2.3,1.5,1.6,1,4.6,0,8.4,6.4,3.4,0,,,,07:02:00,1726578120,7.03,19:36:00,1726623360,19.6,12.57,3,3,22,22,6,7,,4,3.8,3.5,3,,,,,,,,
